n calls (143671010 primitive calls) in 165.255 seconds

Ordered by: cumulative time

ncalls  tottime  percall  cumtime  percall filename:lineno(function)
94949    1.366    0.000    1.452    0.000 db.py:121(_read_index)
1    0.000    0.000    1.449    1.449 topics.py:15(<module>)
1    0.000    0.000    1.426    1.426 ibm1.py:15(<module>)
1    0.000    0.000    1.368    1.368 features.py:15(<module>)
68150    0.110    0.000    1.345    0.000 punkt.py:1311(sentences_from_text)
1    0.000    0.000    1.330    1.330 __init__.py:106(<module>)
1    0.000    0.000    1.296    1.296 distributions.py:8(<module>)
1159144    1.067    0.000    1.196    0.000 re.py:273(_compile)
1019    0.016    0.000    1.195    0.001 <frozen importlib._bootstrap>:2147(_find_spec)
1014    0.002    0.000    1.169    0.001 <frozen importlib._bootstrap>:1934(find_spec)
1014    0.007    0.000    1.167    0.001 <frozen importlib._bootstrap>:1902(_get_spec)
68150    0.101    0.000    1.166    0.000 punkt.py:1301(span_tokenize)
1    0.001    0.001    1.147    1.147 __init__.py:54(<module>)
1509    0.030    0.000    1.144    0.001 <frozen importlib._bootstrap>:2016(find_spec)
1    0.000    0.000    1.101    1.101 _distn_infrastructure.py:5(<module>)
68150    0.088    0.000    1.065    0.000 punkt.py:1309(<listcomp>)
6    0.000    0.000    1.061    0.177 __init__.py:3(<module>)
101    0.003    0.000    1.014    0.010 <frozen importlib._bootstrap>:2061(_fill_cache)
113    1.010    0.009    1.010    0.009 {built-in method listdir}
2    0.000    0.000    1.005    0.503 __init__.py:42(<module>)
136300    0.181    0.000    0.977    0.000 punkt.py:1334(_realign_boundaries)
1    0.000    0.000    0.956    0.956 api.py:4(<module>)
68560    0.104    0.000    0.933    0.000 category_explorer.py:309(<genexpr>)
1    0.000    0.000    0.929    0.929 groupby.py:1(<module>)
1    0.000    0.000    0.896    0.896 frame.py:10(<module>)
1    0.000    0.000    0.893    0.893 add_newdocs.py:10(<module>)
1    0.000    0.000    0.890    0.890 __init__.py:159(<module>)
110770    0.777    0.000    0.858    0.000 {method 'format' of 'str' objects}
1    0.000    0.000    0.821    0.821 tagged.py:12(<module>)
136510/136300    0.112    0.000    0.796    0.000 punkt.py:347(_pair_iter)
1    0.000    0.000    0.746    0.746 __init__.py:542(<module>)
1    0.000    0.000    0.706    0.706 wikiapi.py:15(<module>)
101959/101819    0.031    0.000    0.685    0.000 {built-in method next}
1    0.000    0.000    0.684    0.684 _root.py:7(<module>)
1    0.000    0.000    0.679    0.679 nonlin.py:110(<module>)
1    0.000    0.000    0.667    0.667 type_check.py:3(<module>)
1    0.000    0.000    0.666    0.666 sequential.py:19(<module>)
136300    0.476    0.000    0.647    0.000 punkt.py:1320(_slices_from_text)
1    0.000    0.000    0.647    0.647 __init__.py:83(<module>)
1    0.000    0.000    0.615    0.615 classes.py:1(<module>)
2    0.000    0.000    0.615    0.307 __init__.py:153(<module>)
1    0.000    0.000    0.607    0.607 series.py:3(<module>)
1431168    0.603    0.000    0.603    0.000 re.py:295(_compile_repl)
4    0.000    0.000    0.567    0.142 __init__.py:7(<module>)
1    0.000    0.000    0.554    0.554 dbpedia.py:15(<module>)
1    0.000    0.000    0.543    0.543 basic.py:5(<module>)
1    0.000    0.000    0.541    0.541 __init__.py:6(<module>)
1    0.000    0.000    0.536    0.536 scikitlearn.py:32(<module>)
1    0.000    0.000    0.531    0.531 plotting.py:3(<module>)
142973    0.500    0.000    0.530    0.000 snowball.py:201(_r1r2_standard)
1    0.000    0.000    0.513    0.513 orthogonal.py:79(<module>)
3    0.000    0.000    0.512    0.171 __init__.py:101(<module>)
1    0.000    0.000    0.510    0.510 converter.py:1(<module>)
1    0.000    0.000    0.506    0.506 request.py:68(<module>)
4    0.000    0.000    0.500    0.125 api.py:3(<module>)
68167    0.280    0.000    0.460    0.000 posixpath.py:318(normpath)
1    0.000    0.000    0.415    0.415 featstruct.py:90(<module>)
277548    0.272    0.000    0.403    0.000 _collections_abc.py:502(__iter__)
4    0.000    0.000    0.397    0.099 __init__.py:5(<module>)
34486    0.092    0.000    0.396    0.000 category_explorer.py:222(depth_per_node_incremental)
1    0.000    0.000    0.381    0.381 scorer.py:14(<module>)
1    0.000    0.000    0.343    0.343 boxer.py:26(<module>)
1    0.000    0.000    0.342    0.342 config_init.py:11(<module>)
1    0.000    0.000    0.340    0.340 drt.py:8(<module>)
345370    0.196    0.000    0.340    0.000 features.py:211(_get_create_feature_cache)
1    0.000    0.000    0.333    0.333 __init__.py:197(<module>)
68152    0.252    0.000    0.318    0.000 data.py:105(split_resource_url)
1    0.000    0.000    0.294    0.294 __init__.py:105(<module>)
1    0.000    0.000    0.291    0.291 format.py:2(<module>)
34595    0.036    0.000    0.281    0.000 category_explorer.py:81(depth)
68158    0.061    0.000    0.279    0.000 re.py:163(search)
1    0.000    0.000    0.256    0.256 unsupervised.py:1(<module>)
1    0.000    0.000    0.249    0.249 pairwise.py:31(<module>)
104    0.000    0.000    0.244    0.002 search_space.py:105(next_states)
1    0.000    0.000    0.237    0.237 __init__.py:31(<module>)
275976    0.232    0.000    0.232    0.000 {method 'split' of 'str' objects}
1    0.000    0.000    0.232    0.232 internals.py:9(<module>)
744821    0.230    0.000    0.230    0.000 {method 'startswith' of 'str' objects}
20    0.004    0.000    0.228    0.011 topics.py:1095(evaluate_classifier)
1    0.000    0.000    0.222    0.222 connectionpool.py:1(<module>)
1    0.000    0.000    0.215    0.215 least_angle.py:4(<module>)
68169    0.067    0.000    0.200    0.000 posixpath.py:60(isabs)
731640    0.200    0.000    0.200    0.000 {method 'replace' of 'str' objects}
2    0.000    0.000    0.197    0.099 __init__.py:9(<module>)
1    0.000    0.000    0.192    0.192 client.py:67(<module>)
1    0.000    0.000    0.189    0.189 numeric.py:1(<module>)
1    0.000    0.000    0.188    0.188 utils.py:10(<module>)
1    0.000    0.000    0.187    0.187 dict_vectorizer.py:4(<module>)
1    0.000    0.000    0.187    0.187 generic.py:2(<module>)
758    0.006    0.000    0.180    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
33623    0.017    0.000    0.180    0.000 search.py:152(enqueue)
2    0.000    0.000    0.179    0.089 __init__.py:45(<module>)
34486    0.121    0.000    0.173    0.000 category_explorer.py:269(proportion_of_leaf_nodes_incremental)
758    0.170    0.000    0.170    0.000 {built-in method loads}
69170    0.059    0.000    0.169    0.000 features.py:64(compute_one)
1    0.000    0.000    0.168    0.168 chunked.py:12(<module>)
1    0.000    0.000    0.168    0.168 parser.py:5(<module>)
1    0.000    0.000    0.167    0.167 feedparser.py:20(<module>)
1427511/1426371    0.165    0.000    0.166    0.000 {built-in method len}
1    0.000    0.000    0.162    0.162 message.py:5(<module>)
33623    0.038    0.000    0.162    0.000 search.py:89(put)
1    0.000    0.000    0.161    0.161 internals.py:1(<module>)
104    0.000    0.000    0.161    0.002 category_explorer.py:156(next_actions)
20    0.000    0.000    0.159    0.008 util.py:182(measure_params_ytrue_ypred_)
20    0.000    0.000    0.158    0.008 category_explorer.py:85(predict)
20    0.012    0.001    0.158    0.008 category_explorer.py:86(<listcomp>)
1    0.000    0.000    0.156    0.156 misc.py:1(<module>)
34492    0.155    0.000    0.155    0.000 {built-in method dot}
1    0.000    0.000    0.155    0.155 blas.py:133(<module>)
1    0.000    0.000    0.155    0.155 utils.py:5(<module>)
1    0.001    0.001    0.154    0.154 _continuous_distns.py:5(<module>)
1    0.000    0.000    0.149    0.149 __init__.py:157(<module>)
1    0.000    0.000    0.140    0.140 csr.py:1(<module>)
2368/2354    0.068    0.000    0.138    0.000 {built-in method __build_class__}
304919    0.138    0.000    0.138    0.000 __init__.py:83(__iter__)
