         9617420 function calls (9313603 primitive calls) in 22.809 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.696    0.696 wikiapi.py:15(<module>)
        1    0.000    0.000    0.670    0.670 _root.py:7(<module>)
        1    0.000    0.000    0.666    0.666 nonlin.py:110(<module>)
        1    0.000    0.000    0.633    0.633 dbpedia.py:15(<module>)
        1    0.000    0.000    0.613    0.613 series.py:3(<module>)
        1    0.000    0.000    0.593    0.593 scikitlearn.py:32(<module>)
        1    0.000    0.000    0.584    0.584 request.py:68(<module>)
        1    0.000    0.000    0.582    0.582 basic.py:5(<module>)
        1    0.000    0.000    0.579    0.579 numeric.py:1(<module>)
    47013    0.065    0.000    0.568    0.000 category_explorer.py:309(<genexpr>)
        4    0.000    0.000    0.555    0.139 __init__.py:7(<module>)
        1    0.000    0.000    0.552    0.552 orthogonal.py:79(<module>)
        4    0.000    0.000    0.549    0.137 api.py:3(<module>)
        1    0.000    0.000    0.537    0.537 plotting.py:3(<module>)
        1    0.000    0.000    0.532    0.532 format.py:2(<module>)
        1    0.000    0.000    0.528    0.528 classes.py:1(<module>)
        1    0.000    0.000    0.516    0.516 converter.py:1(<module>)
  1210414    0.503    0.000    0.503    0.000 lookuptree.py:180(_getbits)
        4    0.000    0.000    0.475    0.119 __init__.py:5(<module>)
        3    0.000    0.000    0.458    0.153 __init__.py:101(<module>)
        1    0.000    0.000    0.454    0.454 __init__.py:6(<module>)
      101    0.012    0.000    0.441    0.004 search.py:253(step)
        1    0.000    0.000    0.385    0.385 __init__.py:197(<module>)
        1    0.000    0.000    0.336    0.336 scorer.py:14(<module>)
    23046    0.081    0.000    0.301    0.000 util.py:145(word_jaccard)
        2    0.000    0.000    0.293    0.147 __init__.py:9(<module>)
       20    0.003    0.000    0.267    0.013 topics.py:1095(evaluate_classifier)
   193404    0.177    0.000    0.258    0.000 _collections_abc.py:502(__iter__)
        1    0.000    0.000    0.249    0.249 __init__.py:105(<module>)
        1    0.000    0.000    0.246    0.246 dict_vectorizer.py:4(<module>)
        1    0.000    0.000    0.242    0.242 featstruct.py:90(<module>)
    23968    0.057    0.000    0.240    0.000 category_explorer.py:222(depth_per_node_incremental)
   240195    0.125    0.000    0.237    0.000 features.py:211(_get_create_feature_cache)
        1    0.000    0.000    0.223    0.223 misc.py:1(<module>)
        1    0.000    0.000    0.222    0.222 blas.py:133(<module>)
        1    0.000    0.000    0.212    0.212 chunked.py:12(<module>)
        1    0.000    0.000    0.212    0.212 unsupervised.py:1(<module>)
        1    0.000    0.000    0.209    0.209 internals.py:9(<module>)
        1    0.000    0.000    0.206    0.206 pairwise.py:31(<module>)
        1    0.000    0.000    0.205    0.205 utils.py:10(<module>)
        1    0.000    0.000    0.204    0.204 least_angle.py:4(<module>)
        1    0.000    0.000    0.203    0.203 connectionpool.py:1(<module>)
        1    0.000    0.000    0.195    0.195 client.py:67(<module>)
        1    0.000    0.000    0.187    0.187 generic.py:2(<module>)
        1    0.000    0.000    0.184    0.184 csr.py:1(<module>)
        1    0.000    0.000    0.181    0.181 pkg_resources.py:15(<module>)
      758    0.005    0.000    0.181    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
        1    0.000    0.000    0.181    0.181 boxer.py:26(<module>)
        2    0.000    0.000    0.179    0.090 __init__.py:45(<module>)
        1    0.000    0.000    0.178    0.178 drt.py:8(<module>)
      758    0.172    0.000    0.172    0.000 {built-in method loads}
2368/2354    0.067    0.000    0.167    0.000 {built-in method __build_class__}
    24077    0.021    0.000    0.167    0.000 category_explorer.py:81(depth)
        1    0.000    0.000    0.164    0.164 config.py:49(<module>)
        7    0.000    0.000    0.162    0.023 config.py:761(is_instance_factory)
        1    0.000    0.000    0.161    0.161 internals.py:1(<module>)
       10    0.000    0.000    0.155    0.016 util.py:203(weighted_f1)
        1    0.000    0.000    0.155    0.155 parser.py:5(<module>)
        1    0.000    0.000    0.154    0.154 feedparser.py:20(<module>)
      105    0.000    0.000    0.153    0.001 search_space.py:105(next_states)
        1    0.000    0.000    0.150    0.150 api.py:13(<module>)
        1    0.000    0.000    0.150    0.150 message.py:5(<module>)
        1    0.000    0.000    0.144    0.144 dates.py:111(<module>)
        1    0.000    0.000    0.142    0.142 utils.py:5(<module>)
       20    0.000    0.000    0.139    0.007 util.py:189(measure_params_ytrue_ypred_)
        1    0.000    0.000    0.139    0.139 __init__.py:157(<module>)
        1    0.001    0.001    0.138    0.138 _continuous_distns.py:5(<module>)
       20    0.000    0.000    0.138    0.007 category_explorer.py:85(predict)
       20    0.011    0.001    0.138    0.007 category_explorer.py:86(<listcomp>)
        1    0.000    0.000    0.137    0.137 hashlib.py:53(<module>)
        1    0.000    0.000    0.137    0.137 basic.py:7(<module>)
      587    0.004    0.000    0.126    0.000 re.py:273(_compile)
      253    0.000    0.000    0.124    0.000 re.py:217(compile)
        1    0.000    0.000    0.123    0.123 metrics.py:9(<module>)
      263    0.002    0.000    0.123    0.000 sre_compile.py:460(compile)
        2    0.000    0.000    0.119    0.060 util.py:7(<module>)
    22983    0.013    0.000    0.119    0.000 search.py:153(enqueue)
        3    0.000    0.000    0.118    0.039 __init__.py:8(<module>)
        1    0.000    0.000    0.118    0.118 __init__.py:119(<module>)
        1    0.000    0.000    0.117    0.117 parallel.py:3(<module>)
    23968    0.077    0.000    0.115    0.000 category_explorer.py:269(proportion_of_leaf_nodes_incremental)
       86    0.003    0.000    0.114    0.001 _distn_infrastructure.py:1395(__init__)
        1    0.000    0.000    0.113    0.113 text.py:13(<module>)
        1    0.000    0.000    0.113    0.113 period.py:2(<module>)
   249396    0.111    0.000    0.111    0.000 {built-in method getattr}
        1    0.000    0.000    0.110    0.110 common.py:3(<module>)
    22983    0.025    0.000    0.106    0.000 search.py:90(put)
        1    0.000    0.000    0.106    0.106 interpolate.py:2(<module>)
        3    0.000    0.000    0.105    0.035 base.py:1(<module>)
        1    0.000    0.000    0.104    0.104 eval.py:4(<module>)
        1    0.000    0.000    0.102    0.102 ticker.py:143(<module>)
        1    0.000    0.000    0.102    0.102 __init__.py:44(<module>)
        1    0.000    0.000    0.099    0.099 pydoc.py:36(<module>)
        1    0.000    0.000    0.097    0.097 __init__.py:48(<module>)
        1    0.000    0.000    0.097    0.097 tempfile.py:16(<module>)
    72001    0.066    0.000    0.097    0.000 wikiapi.py:225(children)
        1    0.000    0.000    0.096    0.096 __init__.py:85(<module>)
    23976    0.095    0.000    0.095    0.000 {built-in method dot}
       10    0.000    0.000    0.094    0.009 util.py:222(accuracy_score)
        1    0.000    0.000    0.093    0.093 __init__.py:31(<module>)
    72001    0.063    0.000    0.092    0.000 wikiapi.py:217(parents)
        1    0.016    0.016    0.092    0.092 tz.py:6(<module>)
       99    0.003    0.000    0.092    0.001 learning_search.py:429(report_iteration)
    48134    0.028    0.000    0.092    0.000 features.py:64(compute_one)
        1    0.000    0.000    0.091    0.091 array.py:3(<module>)
   220823    0.088    0.000    0.088    0.000 __init__.py:83(__iter__)
     7313    0.014    0.000    0.086    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.085    0.085 _multiprocessing_helpers.py:5(<module>)
        1    0.000    0.000    0.085    0.085 shutil.py:5(<module>)
        1    0.000    0.000    0.085    0.085 __init__.py:29(<module>)
   580399    0.084    0.000    0.084    0.000 {built-in method hash}
      105    0.000    0.000    0.084    0.001 category_explorer.py:156(next_actions)
        1    0.000    0.000    0.083    0.083 __init__.py:88(<module>)
        1    0.000    0.000    0.082    0.082 compressed.py:1(<module>)
        2    0.000    0.000    0.081    0.041 data.py:7(<module>)
       99    0.002    0.000    0.080    0.001 _distn_infrastructure.py:691(_construct_doc)
        1    0.000    0.000    0.080    0.080 index_tricks.py:1(<module>)
        2    0.000    0.000    0.080    0.040 connection.py:1(<module>)
        1    0.000    0.000    0.080    0.080 downloader.py:68(<module>)
        1    0.000    0.000    0.080    0.080 ctypeslib.py:51(<module>)
        1    0.000    0.000    0.080    0.080 data.py:32(<module>)
        1    0.000    0.000    0.079    0.079 brill.py:11(<module>)
144635/144536    0.039    0.000    0.079    0.000 search_space.py:81(state)
        2    0.000    0.000    0.079    0.039 __init__.py:15(<module>)
    46092    0.020    0.000    0.079    0.000 util.py:126(word_list)
    46092    0.033    0.000    0.077    0.000 util.py:136(without_stopwords)
