         132940896 function calls (127617902 primitive calls) in 109.848 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1002/1    0.044    0.000  109.855  109.855 {built-in method exec}
    81019    0.038    0.000    0.038    0.000 {method 'replace' of 'str' objects}
    79191    0.034    0.000    0.066    0.000 dbpedia.py:31(is_category_uri)
   204491    0.033    0.000    0.033    0.000 {built-in method iter}
     3813    0.031    0.000    0.031    0.000 {built-in method stat}
      205    0.031    0.000    0.079    0.000 doccer.py:12(docformat)
     8559    0.030    0.000    0.394    0.000 {method 'format' of 'str' objects}
    65563    0.029    0.000    0.045    0.000 _collections_abc.py:517(__iter__)
    10137    0.029    0.000    0.032    0.000 __init__.py:58(__setitem__)
    10251    0.025    0.000    0.060    0.000 numeric.py:2428(seterr)
   203866    0.023    0.000    0.023    0.000 {built-in method heapify}
     1510    0.022    0.000    0.100    0.000 <frozen importlib._bootstrap>:2016(find_spec)
    10251    0.022    0.000    0.023    0.000 numeric.py:2524(geterr)
        1    0.022    0.022    0.022    0.022 {method 'readline' of '_io.BufferedReader' objects}
      760    0.021    0.000    0.033    0.000 <frozen importlib._bootstrap>:1621(get_data)
    13693    0.020    0.000    0.022    0.000 sre_parse.py:183(__next)
     9437    0.020    0.000    0.020    0.000 {built-in method array}
  934/299    0.020    0.000    0.063    0.000 sre_parse.py:429(_parse)
    16277    0.018    0.000    0.018    0.000 lookuptree.py:2(__init__)
      502    0.016    0.000    0.357    0.001 arrayprint.py:233(_array2string)
     7028    0.016    0.000    0.020    0.000 arrayprint.py:632(_digits)
      499    0.015    0.000    0.473    0.001 learning_search.py:429(report_iteration)
     2926    0.015    0.000    0.029    0.000 dictionary.py:8(__init__)
      100    0.015    0.000    1.035    0.010 topics.py:1095(evaluate_classifier)
      500    0.015    0.000    0.169    0.000 category_explorer.py:123(next)
     3558    0.014    0.000    0.014    0.000 {built-in method read}
    25776    0.014    0.000    0.014    0.000 {built-in method hasattr}
        1    0.014    0.014    0.015    0.015 malt.py:8(<module>)
     1340    0.013    0.000    0.044    0.000 __init__.py:41(__init__)
     1400    0.013    0.000    0.031    0.000 arraysetops.py:96(unique)
    64347    0.013    0.000    0.029    0.000 _collections_abc.py:481(__iter__)
     3558    0.013    0.000    0.067    0.000 wikiapi.py:149(_get_related_topics)
      502    0.013    0.000    0.127    0.000 arrayprint.py:465(_formatArray)
     6173    0.013    0.000    0.013    0.000 {method 'splitlines' of 'str' objects}
      760    0.012    0.000    0.012    0.000 {method 'read' of '_io.FileIO' objects}
8893/5021    0.012    0.000    1.082    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
    27199    0.011    0.000    0.023    0.000 {built-in method isinstance}
    83776    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
     8305    0.011    0.000    0.029    0.000 <frozen importlib._bootstrap>:50(_path_join)
      502    0.011    0.000    0.026    0.000 arrayprint.py:639(__init__)
     3560    0.011    0.000    0.011    0.000 {built-in method lseek}
